Codigo Municipio,Nombre Municipio,Codigo Departamento,Codigo pais
25335,GUAYABETAL,25,CO
25339,GUTIÉRREZ,25,CO
25368,JERUSALÉN,25,CO
25372,JUNÍN,25,CO
25377,LA CALERA,25,CO
25386,LA MESA,25,CO
25394,LA PALMA,25,CO
25398,LA PEÑA,25,CO
25402,LA VEGA,25,CO
25407,LENGUAZAQUE,25,CO
25426,MACHETÁ,25,CO
25430,MADRID,25,CO
25436,MANTA,25,CO
25438,MEDINA,25,CO
25473,MOSQUERA,25,CO
25483,NARIÑO,25,CO
25486,NEMOCÓN,25,CO
25488,NILO,25,CO
25489,NIMAIMA,25,CO
25491,NOCAIMA,25,CO
25506,VENECIA,25,CO
25513,PACHO,25,CO
25518,PAIME,25,CO
25524,PANDI,25,CO
25530,PARATEBUENO,25,CO
25535,PASCA,25,CO
25572,PUERTO SALGAR,25,CO
25580,PULÍ,25,CO
25592,QUEBRADANEGRA,25,CO
25594,QUETAME,25,CO
25596,QUIPILE,25,CO
25599,APULO,25,CO
25612,RICAURTE,25,CO
25645,SAN ANTONIO DEL TEQUENDAMA,25,CO
25649,SAN BERNARDO,25,CO
25653,SAN CAYETANO,25,CO
25658,SAN FRANCISCO,25,CO
25662,SAN JUAN DE RIOSECO,25,CO
25718,SASAIMA,25,CO
25736,SESQUILÉ,25,CO
25740,SIBATÉ,25,CO
25743,SILVANIA,25,CO
25745,SIMIJACA,25,CO
25754,SOACHA,25,CO
25758,SOPÓ,25,CO
25769,SUBACHOQUE,25,CO
25772,SUESCA,25,CO
25777,SUPATÁ,25,CO
25779,SUSA,25,CO
25781,SUTATAUSA,25,CO
25785,TABIO,25,CO
25793,TAUSA,25,CO
25797,TENA,25,CO
25799,TENJO,25,CO
25805,TIBACUY,25,CO
25807,TIBIRITA,25,CO
25815,TOCAIMA,25,CO
25817,TOCANCIPÁ,25,CO
25823,TOPAIPÍ,25,CO
25839,UBALÁ,25,CO
25841,UBAQUE,25,CO
25843,VILLA DE SAN DIEGO DE UBATÉ,25,CO
25845,UNE,25,CO
25851,ÚTICA,25,CO
25862,VERGARA,25,CO
25867,VIANÍ,25,CO
25871,VILLAGÓMEZ,25,CO
25873,VILLAPINZÓN,25,CO
25875,VILLETA,25,CO
25878,VIOTÁ,25,CO
25885,YACOPÍ,25,CO
25898,ZIPACÓN,25,CO
25899,ZIPAQUIRÁ,25,CO
27001,QUIBDÓ,27,CO
27006,ACANDÍ,27,CO
27025,ALTO BAUDÓ (PIE DE PATÓ),27,CO
27050,ATRATO (YUTO),27,CO
27073,BAGADÓ,27,CO
27075,BAHÍA SOLANO (MUTIS),27,CO
27077,BAJO BAUDÓ (PIZARRO),27,CO
27099,BOJAYÁ (BELLA VISTA),27,CO
